filename,Sensor,Date,Time_UTC,Min_Lon,Min_Lat,Max_Lon,Max_Lat,CRS,Width_px,Height_px,File_Size_KB,Plume_Area_km2,Plume_Intensity_ppm_m,Emission_Rate_kg_hr,methane_detected
ang20161008t203001-A_l3a-vis-ch4-mf-v3_plume_2016-10-08.tif,ang,20161008,203001,313576.5889450015,3925716.649728836,313892.7889449991,3926029.7497288454,EPSG:32611,102,101,3.2,,,,1
ang20161008t203001-C_l3a-ch4-mf-v1_concentrations_2016-10-08.tif,ang,20161008,203001,313517.688945,3925558.549728839,313768.788945,3925716.6497288393,EPSG:32611,81,51,16.62,,,,1
ang20161008t203001-C_l3a-vis-ch4-mf-v002_plume_2016-10-08.tif,ang,20161008,203001,313464.9889450018,3925487.249728836,313781.1889449994,3925803.4497288456,EPSG:32611,102,102,48.6,,,,1
ang20161008t203001-D_l3a-ch4-mf-v1_concentrations_2016-10-08.tif,ang,20161008,203001,313778.088945,3925453.1497288393,314196.58894499997,3925877.8497288395,EPSG:32611,135,137,72.77,,,,1
ang20161008t203001-D_l3a-vis-ch4-mf-v002_plume_2016-10-08.tif,ang,20161008,203001,313815.2889450024,3925481.0497288383,314159.38894499984,3925825.1497288486,EPSG:32611,111,111,48.92,,,,1
ang20161008t204651-C_l3a-vis-ch4-mf-v002_plume_2016-10-08.tif,ang,20161008,204651,313431.553663,3925503.7094808687,313731.553663,3925803.7094808687,EPSG:32611,100,100,39.84,,,,1
ang20161008t204651-D_l3a-vis-ch4-mf-v002_plume_2016-10-08.tif,ang,20161008,204651,313833.553663,3925296.7094808687,314220.553663,3925683.7094808687,EPSG:32611,129,129,65.8,,,,1
ang20161008t204651-E_l3a-vis-ch4-mf-v002_plume_2016-10-08.tif,ang,20161008,204651,313833.553663,3925296.7094808687,314220.553663,3925683.7094808687,EPSG:32611,129,129,65.8,,,,1
ang20161008t210116-A_l3a-ch4-mf-v1_concentrations_2016-10-08.tif,ang,20161008,210116,313665.81031699997,3925866.4350326443,313741.81031699997,3925938.4350326443,EPSG:32611,38,36,5.81,,,,1
ang20161008t210116-A_l3a-vis-ch4-mf-v002_plume_2016-10-08.tif,ang,20161008,210116,313599.81031699997,3925806.4350326443,313801.81031699997,3926008.4350326443,EPSG:32611,101,101,48.13,,,,1
ang20161008t210116-C_l3a-ch4-mf-v1_concentrations_2016-10-08.tif,ang,20161008,210116,313527.81031699997,3925508.4350326443,313757.81031699997,3925702.4350326443,EPSG:32611,115,97,44.07,,,,1
ang20161008t210116-C_l3a-vis-ch4-mf-v002_plume_2016-10-08.tif,ang,20161008,210116,313511.81031699997,3925416.4350326443,313857.81031699997,3925760.4350326443,EPSG:32611,173,172,119.78,,,,1
